Title,Acronym,CORE2023,CORE2021,CORE2020,CORE2018,CORE2017,CORE2014,CORE2013,ERA2010,h5_index,h5_median
International NZ Conference on Computer-Human Interaction,SIGCHI-NZ,,,,,Australasian,Australasian,"Australasian (missed 2013, changed 2019)",,,
International Natural Language Generation Conference,INLG,B,B,B,B,B,B,B,B,29.0,45.0
International Network Optimization Conference,INOC,C,C,C,C,C,C,C,C,,
International Parallel Computing Workshop,PCW,,,,C,C,C,C,C,29.0,56.0
International Picture Coding Symposium,PCS,C,C,C,C,C,C,C,C,16.0,30.0
International Python Conference,IPythC,,,,C,C,C,C,C,,
International Science Conference on Computer Networks,CN,,National:Poland,,,,,,,12.0,36.0
International Semantic Web Conference,ISWC,A,A,A,A,A,A,A,B,37.0,67.0
International Symposium 'Problems of Redundancy in Information and Control Systems',Redundancy,National Russia,National Russia,,,,,,,10.0,13.0
International Symposium Component-Based Software Engineering,CBSE,,,,,B,B,A,A,,
International Symposium on 3D Data Processing Visualization and Transmission,3DPVT,,,,C,C,C,C,C,,
International Symposium on Advanced DB Technologies and Integration,ADTI,,,,B,B,B,B,B,,
International Symposium on Algorithmic Game Theory,SAGT,B,B,B,B,B,B,B,B,15.0,26.0
International Symposium on Algorithms and Computation,ISAAC,A,A,A,A,A,A,A,A,15.0,17.0
International Symposium on Algorithms and Experiments for  Wireless Networks,Algosensors,C,C,C,C,,,,C,,
International Symposium on Applications and the Internet,SAINT,,,,C,C,C,C,C,,
"International Symposium on Applied Algebra, Algebraic Algorithms and Error-Correcting Codes",AAAAECC,,,,B,B,B,B,B,,
International Symposium on Applied Computational Intelligence and Informatics,SACI,National: Romania,National: Romania,National: Romania,C,C,C,C,C,13.0,19.0
International Symposium on Applied Machine Intelligence and Informatics,SAMI,National: slovakia,National: slovakia,National: slovakia,C,C,C,C,C,13.0,20.0
International Symposium on Artificial Intelligence and Mathematics,ISAIM,National: USA,National: USA,National: USA,B,B,B,B,B,19.0,29.0
International Symposium on Artificial Life and Robotics,AROB,C,C,C,C,C,C,C,C,17.0,24.0
"International Symposium on Audio, Video, Image Processing and Intelligent Applications",ISAVIIA,,,,C,C,C,C,C,,
International Symposium on Automated Technology for Verification and Analysis,ATVA,B,B,A,A,A,A,A,A,20.0,32.0
International Symposium on Automation and Robotics in Construction,ISARC,C,C,C,C,C,C,C,C,25.0,31.0
International Symposium on Autonomous Decentralized Systems,ISADS,C,C,C,C,C,C,C,C,,
International Symposium on Circuits and Systems,CIRSYS,,,,C,C,C,C,C,39.0,52.0
International Symposium on Code Generation and Optimization,CGO,A,A,A,A,A,A,A,A,25.0,35.0
International Symposium on Collaborative Technologies and Systems,CTS,,,,C,C,C,C,C,,
International Symposium on Combinatorial Optimisation,ISCO,C,C,C,C,C,C,C,C,,
International Symposium on Computational Geometry,SoCG,A,A,A,A,A,A,A,A,22.0,32.0
International Symposium on Computational Life Science,CompLife,,,,B,B,B,B,B,,
International Symposium on Computer Architecture and High Performance Computing,SBAC-PAD,C,B,B,B,B,B,B,B,12.0,18.0
International Symposium on Computer Design,COMPDES,,,,C,C,C,C,C,41.0,63.0
International Symposium on Computer and Information Sciences,ISCIS,,,C,C,C,C,C,C,28.0,54.0
International Symposium on Cooperative Database Systems for Advanced Applications,CODAS,,,,C,C,C,C,C,,
